observable;cc;tags;description
tecnomacusani.edu.pe;;exploit|malware;phishing
tenaxiafashion.com;;exploit|malware;phishing
upgradeserver.support-customer.ml;;exploit|malware;phishing
veroniud.beget.tech;;exploit|malware;phishing
vitallperu.com;;exploit|malware;phishing
miducnafleh.com;;exploit|malware;botnet
nriqpzwgco.org;;exploit|malware;botnet
sls3.cz;;exploit|malware;malware
smartinfotech.co.in;;exploit|malware;phishing
accounts.checking.capital-one.secur-e.infos.osbirigui.com.br;;exploit|malware;phishing
amazon.de.hq-amazon-js0or.ru;;exploit|malware;phishing
apolorockfestival.com;;exploit|malware;phishing
appitau.online;;exploit|malware;phishing
asbetransfer.tk;;exploit|malware;phishing
callahanward.com;;exploit|malware;phishing
cfspart.impots.gouv.fr.bureaupostecolis.com;;exploit|malware;phishing
chefnbrewfestival.com;;exploit|malware;phishing
concernant-votre-remboursementimpots.releve-formu.com;;exploit|malware;phishing
costumer.bravenjink3440webhelpingus.com;;exploit|malware;phishing
ecoshineproducts.com.au;;exploit|malware;phishing
empleaeuskadi.es;;exploit|malware;phishing
havingatekstil.com.tr;;exploit|malware;phishing
hemsworth.co.ke;;exploit|malware;phishing
iaceckwe.com;;exploit|malware;phishing
jakitweb.com;;exploit|malware;phishing
jofingroup.com;;exploit|malware;phishing
kuroshoes.id;;exploit|malware;phishing
lowercasenyc.com;;exploit|malware;phishing
microfinanceconnect.info;;exploit|malware;phishing
mindfortune.info;;exploit|malware;phishing
oneilllw.beget.tech;;exploit|malware;phishing
orkneygourmetfood.com;;exploit|malware;phishing
paypal.de.sichere-message.com;;exploit|malware;phishing
qrmrussia.ru;;exploit|malware;phishing
rtysasa.com;;exploit|malware;phishing
s230862869.onlinehome.us;;exploit|malware;phishing
sbhackguide.com;;exploit|malware;phishing
theaylesbeareinn.co.uk;;exploit|malware;phishing
timyoung.ca;;exploit|malware;phishing
caixa-cliente.net;;exploit|malware;phishing
policy-renew-fb-mobile.online;;exploit|malware;phishing
shinemastersllc.com;;exploit|malware;phishing
v8guincho.com.br;;exploit|malware;phishing
1xdqz.top;;exploit|malware;suspicious
centrea9.beget.tech;;exploit|malware;phishing
ovxfcvpxwvdywdiy.pw;;exploit|malware;botnet
ybobvntcrub.pw;;exploit|malware;botnet
banking.raiffeisen.at.id176167.gdn;;exploit|malware;phishing
firstcitizensorg.info;;exploit|malware;phishing
rio02n19.beget.tech;;exploit|malware;phishing
srv118.teste.website;;exploit|malware;phishing
stayinschoolfoundationuganda.org;;exploit|malware;phishing
stephaniersaberan.com;;exploit|malware;phishing
stopnarkotic.ru;;exploit|malware;phishing
upgradestep.org;;exploit|malware;phishing
wsjeg.saqibsiddiqui.com;;exploit|malware;phishing
xiedesign.com;;exploit|malware;phishing
zsszestvkl.rev.cl;;exploit|malware;phishing
destek-ziraatbank.com;;exploit|malware;phishing
etherwaiiet.com;;exploit|malware;phishing
halkbank-firsatlari.com;;exploit|malware;phishing
halk-sifrematik.com;;exploit|malware;phishing
mynewellsnewslaertsd4.info;;exploit|malware;phishing
netflix-validate.com;;exploit|malware;phishing
paypal-kundencenter.com;;exploit|malware;phishing
ziraathalkakazandiriyor.com;;exploit|malware;phishing
help-customer-info.ga;;exploit|malware;phishing
pessoajuridica-empresarial.com;;exploit|malware;phishing
secure.alior.przelewy24-7.pl;;exploit|malware;phishing
tasrajutmacora.co.id;;exploit|malware;phishing
1xntg.top;;exploit|malware;suspicious
aafqgbgvabb.info;;exploit|malware;botnet
almagrupo.es;;exploit|malware;phishing
dc-0f166ad3c159.cindykubica.com;;exploit|malware;phishing
emvgfshkhldeyou.com;;exploit|malware;botnet
pnhdqltkumbyhqyrtqi.com;;exploit|malware;botnet
xxockvkwmaiigrv.com;;exploit|malware;botnet
12account12.tk;;exploit|malware;phishing
5thavenue.com.pk;;exploit|malware;phishing
9oxigfyv1n.bradul.creatory.org;;exploit|malware;phishing
aaradhyaestates.com;;exploit|malware;phishing
adolphcoors.org;;exploit|malware;phishing
apoioczb.beget.tech;;exploit|malware;phishing
astimalerji.net;;exploit|malware;phishing
banking.raiffeisen.at.id176141.top;;exploit|malware;phishing
banking.raiffeisen.at.id176145.top;;exploit|malware;phishing
banquepopulaire.fr.portailinternet.pages.default.aspx.poodine.com;;exploit|malware;phishing
banquepopulaire.fr.portailinternet.pages.simafarshineh.com;;exploit|malware;phishing
batatariacristal.com.br;;exploit|malware;phishing
characterproducts.com.au;;exploit|malware;phishing
connect.secure.wellsfargo.com.aaru486.com.au;;exploit|malware;phishing
costumer.begalmalamjeh3435helpingcenter.com;;exploit|malware;phishing
cvbnmnb.ga;;exploit|malware;phishing
desifoodiz.com;;exploit|malware;phishing
eb0oz2ddwj.bradul.creatory.org;;exploit|malware;phishing
edxkx.saqibsiddiqui.com;;exploit|malware;phishing
esco-ee.com.ua;;exploit|malware;phishing
fanpage-update-account.gq;;exploit|malware;phishing
firstcitizenscom.info;;exploit|malware;phishing
firstcitizenscom.org;;exploit|malware;phishing
firstcitizensus.org;;exploit|malware;phishing
fqnvl0t3gw.bradul.creatory.org;;exploit|malware;phishing
gov.uk.claim-tax-refund.updater09.su;;exploit|malware;phishing
granthamcarpets.co.uk;;exploit|malware;phishing
hebraicofacil.com.br;;exploit|malware;phishing
help-center.co;;exploit|malware;phishing
hindurakshakdal.org;;exploit|malware;phishing
houstonfringefestival.org;;exploit|malware;phishing
internetcontaempresarial.com;;exploit|malware;phishing
isnotuioppol.com;;exploit|malware;phishing
kolhagames.com;;exploit|malware;phishing
lacasademaruja.com;;exploit|malware;phishing
lakepointluxuryresort.com;;exploit|malware;phishing
laptopcomputersoon.com;;exploit|malware;phishing
litdecagem.co.id;;exploit|malware;phishing
loosho.com.br;;exploit|malware;phishing
lotto109.com;;exploit|malware;phishing
mishainna.com;;exploit|malware;phishing
m-medientechnik.de;;exploit|malware;phishing
mobile.updatescotia.crystalls.com;;exploit|malware;phishing
momentumfirst.com.au;;exploit|malware;phishing
mon-compte-assure-ameli-remboursement.com;;exploit|malware;phishing
nadjar39.beget.tech;;exploit|malware;phishing
nqqa19hwez.bradul.creatory.org;;exploit|malware;phishing
okg8gimbac.bradul.creatory.org;;exploit|malware;phishing
pavypal.com.resolutioncenter.privacypolicysupporthelp-loginpage.7sb8bd.org;;exploit|malware;phishing
paypal.verif-purchase-id-020318-160515.com;;exploit|malware;phishing
pleasantlychaotic.com;;exploit|malware;phishing
prelevefrid.com;;exploit|malware;phishing
projetocriativa.com.br;;exploit|malware;phishing
provider-system.me;;exploit|malware;phishing
r-card-service.at.id176143.top;;exploit|malware;phishing
r-card-service.at.id176145.top;;exploit|malware;phishing
recallhealing.co.il;;exploit|malware;phishing
regalocapital.com;;exploit|malware;phishing
ruangkonspirasi.com;;exploit|malware;phishing
runawaydragons.com;;exploit|malware;phishing
salinaocnelemari.ro;;exploit|malware;phishing
santnderempresas.com;;exploit|malware;phishing
securetinfo.org;;exploit|malware;phishing
secureweb1ppl-directmanagepaypaal.m-s-c-p-pgroup.com;;exploit|malware;phishing
securitypages.gq;;exploit|malware;phishing
servicepaaypall-cnt-br.umbler.net;;exploit|malware;phishing
servicib.beget.tech;;exploit|malware;phishing
sh217784.website.pl;;exploit|malware;phishing
soroohgroup.com;;exploit|malware;phishing
summary-update-user.com;;exploit|malware;phishing
syseguros.com.br;;exploit|malware;phishing
tazatarin.com;;exploit|malware;phishing
techmorich.com;;exploit|malware;phishing
thermopista.com;;exploit|malware;phishing
tolyan.pro;;exploit|malware;phishing
topshell.ro;;exploit|malware;phishing
trk132.benchurl.com;;exploit|malware;phishing
uniqueairgroup.co.za;;exploit|malware;phishing
update-dta.online;;exploit|malware;phishing
update-information-page.tk;;exploit|malware;phishing
verojikatrobnderticelok.net;;exploit|malware;phishing
volzilainxs.com;;exploit|malware;phishing
wanzhai.com;;exploit|malware;phishing
wellsfargowake.com;;exploit|malware;phishing
ximenesimobiliaria.com.br;;exploit|malware;phishing
xiosdwuewey.co;;exploit|malware;phishing
jwpooleinc.com;;exploit|malware;emotet
www.experiencesuite.it;;exploit|malware;emotet
corditraficos.com;;exploit|malware;emotet
heritagehighway.com.au;;exploit|malware;phishing
camilacbila.com;;exploit|malware;suspicious
customer-service-help-webapps.bounze.in;;exploit|malware;phishing
eivamenzj.org;;exploit|malware;botnet
kelsandsons.info;;exploit|malware;suspicious
01bvxp4ze2.bradul.creatory.org;;exploit|malware;phishing
1710coffee.com;;exploit|malware;phishing
3p4tvbi8wv.ivertiipolska.com.pl;;exploit|malware;phishing
8nhfjevdflfdgiyqsuu6.mbservicesyorkshire.co.uk;;exploit|malware;phishing
9bsemeihgubtuhdwqlt1.bosch-web-marketing.co.uk;;exploit|malware;phishing
abgreen.com.br;;exploit|malware;phishing
admin.ugra.in;;exploit|malware;phishing
alfredog.beget.tech;;exploit|malware;phishing
ameli-assrance.cba.pl;;exploit|malware;phishing
andotherobservations.jia-li.net;;exploit|malware;phishing
andreperez.net;;exploit|malware;phishing
bs7gwcsyxrsu1jfyamrb.alfacomercial.com.br;;exploit|malware;phishing
cbalxzldjt.bradul.creatory.org;;exploit|malware;phishing
centr-zko.legostore.kz;;exploit|malware;phishing
danskeonlineb.co.uk;;exploit|malware;phishing
daten-aktualisierung-56gh23.gdn;;exploit|malware;phishing
dattanava.com;;exploit|malware;phishing
dck5h19edcevky0gdmkq.mbservicesyorkshire.co.uk;;exploit|malware;phishing
devapolline.fr;;exploit|malware;phishing
de-zahlungsdaten-sicherheit-net.gdn;;exploit|malware;phishing
eest.in;;exploit|malware;phishing
freedomrealtysolutions.com;;exploit|malware;phishing
fussballverruckt.de;;exploit|malware;phishing
gites-les-noisetiers.fr;;exploit|malware;phishing
glassduniya.com;;exploit|malware;phishing
goodlifehoor.se;;exploit|malware;phishing
gruppodoria.it;;exploit|malware;phishing
guide-mabanque-bnpparibas-fr.info;;exploit|malware;phishing
hagamosalgo.co;;exploit|malware;phishing
kmphotography.gr;;exploit|malware;phishing
kpzwkrozpc.bradul.creatory.org;;exploit|malware;phishing
laslomaspta.com;;exploit|malware;phishing
login.microsofteonline.cf;;exploit|malware;phishing
luishuergo.com;;exploit|malware;phishing
manthanorganics.com;;exploit|malware;phishing
merchantcapitalpartner.com;;exploit|malware;phishing
mitchell.raakstaging.com;;exploit|malware;phishing
nmgessp9fqgvtsjgifzb.bosch-web-marketing.co.uk;;exploit|malware;phishing
nmgessp9fqgvtsjgifzb.mbservicesyorkshire.co.uk;;exploit|malware;phishing
pageviadropline-documentshareclienthtmlinformationredirection.droppages.com;;exploit|malware;phishing
pauseforspacepublications.co.uk;;exploit|malware;phishing
pctoghe2ofleyslwieba.mbservicesyorkshire.co.uk;;exploit|malware;phishing
pdinteriors.co.ke;;exploit|malware;phishing
puerlawznuhqk1xmexvi.bosch-web-marketing.co.uk;;exploit|malware;phishing
qsajuackl8yzj6i8f4qk.mbservicesyorkshire.co.uk;;exploit|malware;phishing
rogeriofotografia.com.br;;exploit|malware;phishing
roguedistrict.com.au;;exploit|malware;phishing
salonduchat.ml;;exploit|malware;phishing
silentalarmhq.com;;exploit|malware;phishing
sistemaconfig.webcindario.com;;exploit|malware;phishing
update.paypal.account.actvty-updt-scre.com;;exploit|malware;phishing
urbanpeoplesinternazional.com;;exploit|malware;phishing
xlpfycamwlsewxemknq5.alfacomercial.com.br;;exploit|malware;phishing
yee0uexvl6fdfivlrbmr.mbservicesyorkshire.co.uk;;exploit|malware;phishing
ykbvlgydtdmcqulpphaw.mbservicesyorkshire.co.uk;;exploit|malware;phishing
zubeidajaffer.co.za;;exploit|malware;phishing
account-informationsupport.com;;exploit|malware;suspicious
account-summary-update.info;;exploit|malware;suspicious
deniz-bank-mobilbankacilik.com;;exploit|malware;suspicious
ritmicamente.it;;exploit|malware;malware
support-account-information-caseid001357925.com;;exploit|malware;suspicious
bankofamerica-recover-restricted-account.mararu.com;;exploit|malware;phishing
bookkeeperbaltimore.com;;exploit|malware;phishing
checkpoint-pages.tk;;exploit|malware;phishing
cmielow.info.pl;;exploit|malware;phishing
instantwealthformula.net;;exploit|malware;phishing
joindigitalindia.com;;exploit|malware;phishing
services-acc0unt.cf;;exploit|malware;phishing
serviciopaypal.com;;exploit|malware;phishing
singaporeproperty.review;;exploit|malware;phishing
apple-storesubscription.com;;exploit|malware;phishing
denizbank-islemler.com;;exploit|malware;phishing
halkbankyatirimislemi.com;;exploit|malware;phishing
invest-halkbank.com;;exploit|malware;phishing
irineubaltieriseguros.com;;exploit|malware;phishing
supportssecure.com;;exploit|malware;phishing
c0act425.caspio.com;;exploit|malware;phishing
cartetitolari.mps.it.mewdoku.com;;exploit|malware;phishing
g-dent.ru;;exploit|malware;malware
login-account.information-confirmed.work;;exploit|malware;phishing
apotheosisconsulting.com;;exploit|malware;emotet
montealegre.es;;exploit|malware;emotet
www.dutadharma.co.id;;exploit|malware;emotet
www.liganews.gr;;exploit|malware;emotet
pokojeutosi.com.pl;;exploit|malware;emotet
branchesponteland.co.uk;;exploit|malware;emotet
www.xmsjlm.com;;exploit|malware;emotet
dutadharma.co.id;;exploit|malware;emotet
hram-marii-magdaliny.ru;;exploit|malware;emotet
gt-mywyty186338.codeanyapp.com;;exploit|malware;phishing
33jjtmkd6j.ivertiipolska.com.pl;;exploit|malware;phishing
501c3merchantservices.com;;exploit|malware;phishing
alpineluxurylimo.com;;exploit|malware;phishing
alternativestreams.org;;exploit|malware;phishing
amazon.de.fast-click05.com;;exploit|malware;phishing
amazon.de.neue-agbs.com;;exploit|malware;phishing
ameli-assurance.bphotos.ca;;exploit|malware;phishing
americanfriendsofreuth.org;;exploit|malware;phishing
app-epicgamespaypl3218321.com;;exploit|malware;phishing
app-payplepicgamespaypl3218321.com;;exploit|malware;phishing
atualizar-cliente.ml;;exploit|malware;phishing
audacitytobeyou.com;;exploit|malware;phishing
becomingsara.com;;exploit|malware;phishing
bipinshrestha.com;;exploit|malware;phishing
bk-sirius.kiev.ua;;exploit|malware;phishing
californiaroaddream.com;;exploit|malware;phishing
capital-one.com.checking.accounts.insidmaldesign.com;;exploit|malware;phishing
chattysnaps.com;;exploit|malware;phishing
clickprintnv.com;;exploit|malware;phishing
clinicombiosolution.com;;exploit|malware;phishing
comiculture.com;;exploit|malware;phishing
commonwealthcpr.com;;exploit|malware;phishing
confrim-pages-recovery.ml;;exploit|malware;phishing
designstages.com.sa;;exploit|malware;phishing
elijahpies.com.sg;;exploit|malware;phishing
feuerwehr-st-agatha.at;;exploit|malware;phishing
fortyna-plus.ru;;exploit|malware;phishing
home-ipaypal.com;;exploit|malware;phishing
impots-gouv-cfpartm.com;;exploit|malware;phishing
inwesternmusic.com;;exploit|malware;phishing
itech.com.pk;;exploit|malware;phishing
j831220.myjino.ru;;exploit|malware;phishing
jocecabeleireiros.com.br;;exploit|malware;phishing
jtoutfitters.com;;exploit|malware;phishing
kamiligroup.co.ke;;exploit|malware;phishing
kantong-ajaib.com;;exploit|malware;phishing
laurenwainwright.ca;;exploit|malware;phishing
lereveresidence.com.br;;exploit|malware;phishing
localupline.fr;;exploit|malware;phishing
loki-business-gathering.tk;;exploit|malware;phishing
malianury-grafiti.com;;exploit|malware;phishing
mapena.ac.id;;exploit|malware;phishing
marian1399.myjino.ru;;exploit|malware;phishing
marinesurveyorindonesia.com;;exploit|malware;phishing
matichaix.net;;exploit|malware;phishing
merchantclubusa.com;;exploit|malware;phishing
mob-overcharge.com;;exploit|malware;phishing
nextmarket.xyz;;exploit|malware;phishing
ni1533708-1.web20.nitrado.hosting;;exploit|malware;phishing
pavypal.com.privacypolicy.supportaccount.update.sevice-loginpage.v7sb5.org;;exploit|malware;phishing
paypal.bakesbangpol.kedirikab.go.id;;exploit|malware;phishing
pishgaman.sahraco.com;;exploit|malware;phishing
pure-virility.com;;exploit|malware;phishing
rosebilisimbodrum.com;;exploit|malware;phishing
secure-capital.one.checking.accounts.insidmaldesign.com;;exploit|malware;phishing
singneett.info;;exploit|malware;phishing
starbuyrealestate.com;;exploit|malware;phishing
stricker-europe.bid;;exploit|malware;phishing
thecrazylifeofcarmen.com;;exploit|malware;phishing
uk606.directrouter.com;;exploit|malware;phishing
vantasselworkshop.borsawallace2010.com;;exploit|malware;phishing
waysofflineintroduction.my.droppages.com;;exploit|malware;phishing
webzona-segura1rbn.com;;exploit|malware;phishing
wellsfargo.com.4spective.com;;exploit|malware;phishing
zidanemarble.myjino.ru;;exploit|malware;phishing
bardocaju.com.br;;exploit|malware;emotet
talweg.com.br;;exploit|malware;emotet
www.hypno-balance.at;;exploit|malware;emotet
appleid-apple-verify.org;;exploit|malware;phishing
appleid-localizador.com;;exploit|malware;phishing
bancanet24-evento.com;;exploit|malware;phishing
cepteteb-basvuru.com;;exploit|malware;phishing
com-accsid0890219manage-accnt.info;;exploit|malware;phishing
halkbank-bireysel-sube.com;;exploit|malware;phishing
halkbank-parafparam.com;;exploit|malware;phishing
halk-hizmetimiz.com;;exploit|malware;phishing
instegramtakipcibayi.com;;exploit|malware;phishing
iphone-icloud-id.info;;exploit|malware;phishing
netflix-pmt.com;;exploit|malware;phishing
pypal-accsid9148210-mng9237.info;;exploit|malware;phishing
scurevpntunel02.top;;exploit|malware;phishing
scurevpntunel04.top;;exploit|malware;phishing
signin-authflow-inc.com;;exploit|malware;phishing
tc-ziraattbank.com;;exploit|malware;phishing
accounts-cp85.webprestashop.com;;exploit|malware;phishing
iforgotonlineapple.co.uk;;exploit|malware;suspicious
internalmeldingenalerts.nl;;exploit|malware;phishing
krmowaretedc.com;;exploit|malware;suspicious
mendayungdayung.com;;exploit|malware;phishing
piecehigh.net;;exploit|malware;suspicious
aaps2018.com;;exploit|malware;phishing
amazon.de.newssend0.com;;exploit|malware;phishing
ana-ero.bid;;exploit|malware;phishing
auamesummit.com;;exploit|malware;phishing
bahria123.com;;exploit|malware;phishing
cardiologyupdatesymposium.com;;exploit|malware;phishing
coopcentro.fin.ec;;exploit|malware;phishing
crmfiltros.com.br;;exploit|malware;phishing
discover.haroldwheen.com.au;;exploit|malware;phishing
embroidery.embroidery.embroidery.ebp-items-offer-now.com;;exploit|malware;phishing
greenhilldesign.com.au;;exploit|malware;phishing
l0gin-area.ml;;exploit|malware;phishing
lcp0rkyg-site.1tempurl.com;;exploit|malware;phishing
masteeww.gq;;exploit|malware;phishing
nahkansere.com;;exploit|malware;phishing
natwestcustomerlogon.astronomiegitimi.net;;exploit|malware;phishing
nursewincoid.masterweb.id;;exploit|malware;phishing
secure-bankofamerica.com.checking-accounts.insidmaldesign.com;;exploit|malware;phishing
sigortaline.com.tr;;exploit|malware;phishing
spyglassresources.com;;exploit|malware;phishing
texasfhainspections.com;;exploit|malware;phishing
tracker-mac.com;;exploit|malware;phishing
vkhacker.esy.es;;exploit|malware;phishing
xrobowe.com;;exploit|malware;phishing
com-payments-details.xyz;;exploit|malware;phishing
halkbank-mobilparafpara.com;;exploit|malware;phishing
halkbankparafpuan.com;;exploit|malware;phishing
ligueconso.org;;exploit|malware;phishing
manageslockeds-appsstore-supports.com;;exploit|malware;phishing
online-internetislemi.com;;exploit|malware;phishing
online-mobilislemlerim.com;;exploit|malware;phishing
secure2account-myaccountwebappid.com;;exploit|malware;phishing
artwalk.sztukawmiescie.pl;;exploit|malware;emotet
duanicidcomplex.vn;;exploit|malware;emotet
energyplanet.pl;;exploit|malware;emotet
epochtimeschicago.com;;exploit|malware;emotet
geni.anas.it;;exploit|malware;emotet
hxtssp.com;;exploit|malware;emotet
idemonterrey.com;;exploit|malware;emotet
jacobsracing.ca;;exploit|malware;emotet
kleinaberoho.info;;exploit|malware;emotet
lppm.unida.gontor.ac.id;;exploit|malware;emotet
norskfiatregister.no;;exploit|malware;emotet
prima-re.com;;exploit|malware;emotet
risuem3000.ru;;exploit|malware;emotet
silvlisdesign.com;;exploit|malware;emotet
ts-minta.com;;exploit|malware;emotet
euclideinvestments.com;;exploit|malware;phishing
facebook-confirmation.online;;exploit|malware;phishing
gov-refund-tax.online;;exploit|malware;phishing
nexi-online-verifca-delle-utenze-pay-grazie2.loseyourip.com;;exploit|malware;phishing
resolve-account-id-665.com;;exploit|malware;phishing
manageslockeds-appsstore-help.com;;exploit|malware;phishing
asnusantara.co.id;;exploit|malware;phishing
benabdy8.beget.tech;;exploit|malware;phishing
bftg.com.au;;exploit|malware;phishing
curraldedentro.mg.gov.br;;exploit|malware;phishing
deinehardware.eu;;exploit|malware;phishing
heatherwoodphoto.com;;exploit|malware;phishing
krishanibd.com;;exploit|malware;phishing
mtalk2.mannishtalk.com;;exploit|malware;phishing
parverentia.ga;;exploit|malware;phishing
paypal0r.beget.tech;;exploit|malware;phishing
andonis.co.uk;;exploit|malware;malware
djjaxvor.com;;exploit|malware;botnet
insightart.info;;exploit|malware;malware
ksgrpwjmtkhaxfl.pw;;exploit|malware;botnet
legentilphotographe.com;;exploit|malware;malware
my.account.security.shivagirifilms.com;;exploit|malware;phishing
sumohimbe.com;;exploit|malware;suspicious
system-62sk2.stream;;exploit|malware;malware
webivox.club;;exploit|malware;phishing
islandlanes.com;;exploit|malware;phishing
kern-photo.com;;exploit|malware;phishing
managermy-acscc-amaizone.com;;exploit|malware;phishing
rbc-online-verify.pe.hu;;exploit|malware;phishing
zahrachem.com;;exploit|malware;phishing
cartuchosytoner.net;;exploit|malware;phishing
clang29217.axfree.com;;exploit|malware;phishing
facebook-com506.webnode.com;;exploit|malware;phishing
jwpray.com;;exploit|malware;phishing
accountsguru.info;;exploit|malware;phishing
atualiz-cadastro.esy.es;;exploit|malware;phishing
ballaratintegratedhealth.com.au;;exploit|malware;phishing
bord.casaalgarviadog.com;;exploit|malware;phishing
bundstrategy.com;;exploit|malware;phishing
chaseonline.chase.argosiletisim.com;;exploit|malware;phishing
checking-acccounts.banking.pnc.com.insidmaldesign.com;;exploit|malware;phishing
checking-alerts.secure.capital-one.updating.info.insidmaldesign.com;;exploit|malware;phishing
comlerosn.com;;exploit|malware;phishing
company.aozora.nagoya;;exploit|malware;phishing
connecthospital.com;;exploit|malware;phishing
dev.interfusedcreative.com;;exploit|malware;phishing
discoverdiva.com;;exploit|malware;phishing
discover.hawkesburyshow.com.au;;exploit|malware;phishing
donitasvacationsunlimited.com;;exploit|malware;phishing
edh-diagnostic.fr;;exploit|malware;phishing
essentialinsanity.com;;exploit|malware;phishing
ib.hsbacess.com;;exploit|malware;phishing
idrissukses.com;;exploit|malware;phishing
iep-vitarte.org;;exploit|malware;phishing
iskmarnss.com;;exploit|malware;phishing
mdcgeneralcontractor.com;;exploit|malware;phishing
megamaxturkiye.com;;exploit|malware;phishing
mybonpland.com;;exploit|malware;phishing
nissica.com.ve;;exploit|malware;phishing
ombannasevasamitiraj.org;;exploit|malware;phishing
paypai-online-update.com;;exploit|malware;phishing
roboskibo.site;;exploit|malware;phishing
serviceteamsecure.tk;;exploit|malware;phishing
tecnomatic.net.br;;exploit|malware;phishing
test2.jessekanclerz.com;;exploit|malware;phishing
thehautesociete3.visionpush.com;;exploit|malware;phishing
thewall-usa.bid;;exploit|malware;phishing
bu-belokcainintlsrv.com;;exploit|malware;phishing
confirmationusually.com;;exploit|malware;phishing
dashbord-locked-acces-my.com;;exploit|malware;phishing
halk-mobilbireysel.com;;exploit|malware;phishing
halkparafiade.com;;exploit|malware;phishing
icloud-fneiphone.com;;exploit|malware;phishing
international1securedrive.com;;exploit|malware;phishing
mobildenizhesabim.com;;exploit|malware;phishing
paraf-onlineislem.com;;exploit|malware;phishing
parafpuan-onlineislem.com;;exploit|malware;phishing
scotiainlinea.com;;exploit|malware;phishing
takipcimbu.site;;exploit|malware;phishing
transaction-secure7.com;;exploit|malware;phishing
adidasindonesia.com;;exploit|malware;phishing
albinokk.beget.tech;;exploit|malware;phishing
internetbanking9-com-br.umbler.net;;exploit|malware;phishing
meseriasul24.ro;;exploit|malware;phishing
server.findthemd.com;;exploit|malware;phishing
xn--mercadobtcon-zfbd.com;;exploit|malware;phishing
1myetherwallet.net;;exploit|malware;suspicious
arojwclm.com;;exploit|malware;botnet
halkbank-interbanksubesi.com;;exploit|malware;suspicious
i-myetherwallet.info;;exploit|malware;suspicious
lqrjkrsnhpjvss.com;;exploit|malware;botnet
recoverymyaccountsecure-webappid.com;;exploit|malware;suspicious
xwrrygvgt.com;;exploit|malware;botnet
athomewithiz.com;;exploit|malware;phishing
burgering-pali.bid;;exploit|malware;phishing
correoenlanube.com;;exploit|malware;phishing
jeuxdebebes2018.org;;exploit|malware;phishing
kingfood.co.id;;exploit|malware;phishing
kurumsalcicekcisitesi.com;;exploit|malware;phishing
lataherbalbd.com;;exploit|malware;phishing
marionparker.com.au;;exploit|malware;phishing
platinummotionmedia.com;;exploit|malware;phishing
portalbahianews.com;;exploit|malware;phishing
rbcroyalbank-personal-banking-account-vericiation-important.diegocarrillophotography.com;;exploit|malware;phishing
strickag.com;;exploit|malware;phishing
tcsasports.org;;exploit|malware;phishing
yetroplamnh.info;;exploit|malware;phishing
yinmikbest.com;;exploit|malware;phishing
bireysel-ziraatbankmobilesube.com;;exploit|malware;phishing
gaelgm59.beget.tech;;exploit|malware;phishing
halkbank-mobil-internetsubesi.com;;exploit|malware;phishing
icloud-oes.com;;exploit|malware;phishing
myetherwallet.promo;;exploit|malware;phishing
spectrocoinbtc.com;;exploit|malware;phishing
verificar-mpago.com;;exploit|malware;phishing
wellsfargodp.com;;exploit|malware;phishing
ofertasmagalu2018.com;;exploit|malware;phishing
sosteachers.co;;exploit|malware;phishing
vikramassociate.in;;exploit|malware;phishing
1xgya.top;;exploit|malware;suspicious
ectojhjl.pw;;exploit|malware;botnet
euss.com.br;;exploit|malware;phishing
fallopen.net;;exploit|malware;botnet
fgidbjjms.in;;exploit|malware;botnet
fyoeohwo.pw;;exploit|malware;botnet
glanfr.info;;exploit|malware;botnet
hieodjcxukmdkokwe.pw;;exploit|malware;botnet
htmthgurhtchwlhwklf.com;;exploit|malware;botnet
lijypkz.cc;;exploit|malware;botnet
londonintegratedsystems.co.uk;;exploit|malware;phishing
mexremom.pw;;exploit|malware;botnet
miqzfjo.biz;;exploit|malware;botnet
progresivne.cz;;exploit|malware;malware
smhfwsmwtvlqvgu.pw;;exploit|malware;botnet
sticksome.net;;exploit|malware;suspicious
timothyfiore.com;;exploit|malware;phishing
unsgleipmumoraiie.xyz;;exploit|malware;botnet
vqdlox.org;;exploit|malware;botnet
wiqwnixazg.com;;exploit|malware;botnet
wsksrvhet.xyz;;exploit|malware;botnet
xcmnfg.ga;;exploit|malware;phishing
885c93586e11cccacd647adc490c00a4.getforge.io;;exploit|malware;phishing
banca-itau-chile.top;;exploit|malware;phishing
brazilairporttransfers.com;;exploit|malware;phishing
celular-cadastro.cf;;exploit|malware;phishing
ciadorh.com.br;;exploit|malware;phishing
ciccc.goeoffice.com;;exploit|malware;phishing
cloudon.ml;;exploit|malware;phishing
dev.a-t-martialarts.com;;exploit|malware;phishing
deviclinic.in;;exploit|malware;phishing
insightconsultingservices.com.au;;exploit|malware;phishing
investigativeconsultantsllc.com;;exploit|malware;phishing
livekombucha.ca;;exploit|malware;phishing
mdwyerle.myhostpoint.ch;;exploit|malware;phishing
metallurgical.ml;;exploit|malware;phishing
offer-paypel.ml;;exploit|malware;phishing
pedromerla.com;;exploit|malware;phishing
rupertsigns.com;;exploit|malware;phishing
sertemasesores.es;;exploit|malware;phishing
sutalarisafijuddindakhilmadrasha.edu.bd;;exploit|malware;phishing
vspozzopro.com;;exploit|malware;phishing
contact-support.mnacircle.com;;exploit|malware;phishing
cryptosilencer.com;;exploit|malware;phishing
tickettocruise.com;;exploit|malware;phishing
vpshealthtv.com;;exploit|malware;phishing
wells28.bestwell-s828scre.com;;exploit|malware;suspicious
bankofamerica-onlineaccess-com.ga;;exploit|malware;phishing
